PropertyType,mean,count
Fire station ,70.81241250583294,4286
Milking Parlour ,245.8,5
Bicycle,257.2576590730558,1273
Town Hall ,271.540415704388,1299
Theatre ,275.3948717948718,2535
Military helicopter ,284.0,1
Police station ,285.5495145631068,3090
Tram ,286.28125,32
Racecourse ,287.0,2
Ice rink ,290.2162162162162,111
Club/night club ,290.2984828496042,3032
Human harm outdoors,291.00224971878515,889
Cinema ,293.9103734439834,2410
Library ,294.0284934828736,3299
Central Government Office,295.30144167758846,1526
Law Courts ,295.729392173189,1201
Indoor Market ,296.0726872246696,454
Leisure Centre ,299.3904966059307,5598
Large supermarket ,302.67393690990264,13663
Hostel (e.g. for homeless people) ,305.55704659166497,34577
Local Government Office,306.8072108162243,1997
Gym ,307.8373076923077,5200
Pub/wine bar/bar ,308.4427230405251,13103
Concert Hall ,309.1306990881459,329
College/University ,310.6916326120453,14927
Train station - concourse ,313.8409937888199,1610
Department Store ,313.983932223196,3423
Health Centre ,314.8318122555411,767
Mosque ,315.1864951768489,311
Swimming Pool ,315.18892045454544,704
Ambulance station ,316.39506172839504,162
Single shop ,317.15127221363264,52389
Train station - platform (below ground) ,317.88391118036617,5134
Cathedral ,318.35059760956176,251
Takeaway/ fast food ,319.922820318423,6595
Boarding House/B&B for homeless/asylum seekers ,320.16978109983984,5619
Restaurant/cafe,320.28141532786486,20603
Bingo Hall ,320.57620041753654,479
Estate Agent ,320.71230158730157,504
DIY Warehouse ,320.78864628820963,2290
Casino ,321.4976744186047,430
Bank/Building Society ,321.89401496259353,3208
Hotel/motel ,322.6912642980059,19758
Other entertainment venue ,322.8328729281768,1448
Freight Train ,323.4102564102564,39
Medical/health centre,323.42933507170795,7670
Travel Agent ,323.55445544554453,101
Shopping Centre ,323.6013359647791,6587
Conference Centre ,324.1490514905149,369
Purpose built office ,324.1921207961565,72850
Exhibition Centre ,324.5065868263473,835
TV/film/music/art studio ,325.89524782830864,1957
Telephone exchange,326.08169533169536,1628
Youth hostel ,326.97196892941577,2961
Converted Flat/Maisonettes - 3 or more storeys,327.64670801279726,96583
Hairdresser ,328.28776978417267,1251
Cycle path/public footpath/bridleway ,328.3407942238267,4155
Church/Chapel ,328.40673513255314,4187
Bus/coach station/garage ,329.2231947483589,1371
Train station - platform (at ground level or elevated) ,329.24897213339426,2189
Call Centre ,329.69029850746267,1072
Other medical establishment (including surgery) ,330.10311799470145,4907
Football stadium ,330.63412489006157,1137
Small refuse/rubbish container,331.0093470982143,50176
Converted office ,331.15003133112526,11171
Wheelie bin (domestic size),331.1586226768477,6941
Other retail  ,331.4970668752444,2557
Train station - elsewhere ,331.6531850353893,1978
Ferry terminal ,332.1666666666667,24
Doctors surgery,332.24226804123714,1940
Other public building ,332.4612511671335,1071
Hospital ,332.8884962352607,56312
Electrical warehouse ,333.45045045045043,666
Synagogue ,333.617915904936,547
Sports/Social club ,333.65882855921336,2339
Other office/call centre type building,333.6939477303989,1454
Other education establishment,334.99902818270164,3087
Petrol station ,335.05723006486073,2621
Bakery,335.07750472589794,529
Other cultural venue ,335.23796033994336,706
Student Hall of Residence ,335.66861786113145,25967
Art Gallery ,335.69446297531687,1499
Dental surgery,335.8304347826087,920
Secondary school,336.11612744495017,16258
Pre School/nursery ,336.73269989243454,5578
Community centre/Hall ,336.7747729149463,4844
Animal products processing plant,337.3350785340314,191
