,Average_AttendanceTimeSeconds
Average_AttendanceTimeSeconds,1.0
DelayCodeId,0.5991936940633175
distance,0.5175197992858546
NumStationsWithPumpsAttending,0.2399871792317405
PumpCount,0.13033715733653561
SecondPumpArriving_DeployedFromStation_Other,0.12719172753919933
Postcode_district_Other,0.12127664375561949
IncidentStationGround_Other,0.10916001649042209
IncGeo_BoroughCode_E09000017,0.09229746073426788
ProperCase_Hillingdon,0.09229746073426788
AddressQualifier_On motorway / elevated road,0.08673683856880678
IncGeo_WardCode_Other,0.07725740273162456
FirstPumpArriving_DeployedFromStation_Other,0.07602705587190847
StopCodeDescription_False alarm - Good intent,0.06581088402339638
NumCalls,0.06384215228444436
AddressQualifier_Open land/water - nearest gazetteer location,0.061270590354147884
IncGeo_WardCode_E05013570,0.06001129674581119
ProperCase_Enfield,0.057520825399945054
IncGeo_BoroughCode_E09000010,0.057520825399945054
ProperCase_Bromley,0.05468310878657092
IncGeo_BoroughCode_E09000006,0.05468310878657092
IncGeo_BoroughCode_E09000003,0.054129283955530495
ProperCase_Barnet,0.054129283955530495
IncGeo_WardNameNew_Other,0.053847918019158274
StopCodeDescription_Primary Fire,0.05375367353646549
PropertyType_House - single occupancy ,0.051067958247315505
IncGeo_WardNameNew_Heathrow Villages,0.05094344921468667
Postcode_full_Other,0.050842261257257826
PropertyType_Purpose Built Flats/Maisonettes - 10 or more storeys ,0.04980633083460653
IncidentGroup_Fire,0.04861953957750142
FirstPumpArriving_DeployedFromStation_Wembley,0.047493742975103774
PropertyCategory_Outdoor,0.04639698808223375
IncidentStationGround_Enfield,0.04551981436956175
IncidentStationGround_Wembley,0.04398340318658149
SecondPumpArriving_DeployedFromStation_Wembley,0.04379571350256584
ProperCase_Havering,0.04083481221524059
IncGeo_BoroughCode_E09000016,0.04083481221524059
ProperCase_Harrow,0.03963179961992301
IncGeo_BoroughCode_E09000015,0.03963179961992301
PropertyCategory_Road Vehicle,0.038958395989748394
SecondPumpArriving_DeployedFromStation_Northolt,0.03855918045637052
IncidentStationGround_Stanmore,0.03813368139685432
IncGeo_WardCode_E05014017,0.0375008967879225
PropertyCategory_Dwelling,0.0368811838007426
SpecialServiceType_not special service,0.03627483661854555
FirstPumpArriving_DeployedFromStation_Feltham,0.0361594202281791
IncGeo_BoroughCode_E09000005,0.035765041393787875
ProperCase_Brent,0.035765041393787875
SecondPumpArriving_DeployedFromStation_Hendon,0.03566827043973122
FirstPumpArriving_DeployedFromStation_Hendon,0.034957808172346644
FirstPumpArriving_DeployedFromStation_Enfield,0.03464686387973619
SecondPumpArriving_DeployedFromStation_Feltham,0.03453182891278994
ProperCase_Redbridge,0.0335393500309557
IncGeo_BoroughCode_E09000026,0.0335393500309557
IncGeo_BoroughCode_E09000027,0.0332780068646008
ProperCase_Richmond Upon thames,0.0332780068646008
PropertyType_Car ,0.033266910542933834
FirstPumpArriving_DeployedFromStation_Northolt,0.03254897496239297
AddressQualifier_On land associated with building,0.03193376180318872
FirstPumpArriving_DeployedFromStation_Stanmore,0.031668001051570534
IncGeo_WardNameNew_HEATHROW VILLAGES,0.03157549227973308
SecondPumpArriving_DeployedFromStation_Stanmore,0.03152014074420695
IncGeo_BoroughCode_E09000018,0.029535578515922426
ProperCase_Hounslow,0.029535578515922426
IncGeo_WardNameNew_Roehampton,0.029344376192328176
PumpMinutesRounded,0.029266850054760884
