,Average_AttendanceTimeSeconds
Average_AttendanceTimeSeconds,1.0
FirstPumpArriving_AttendanceTime,0.865136375446523
SecondPumpArriving_AttendanceTime,0.6122185001022037
DelayCodeId,0.5777401195162163
distance,0.5375092239050075
NumStationsWithPumpsAttending,0.2718438050370536
NumPumpsAttending,0.24080656669766565
PumpCount,0.16625139067692563
NumCalls,0.07338162722918797
SpecialServiceType_encoded,0.07168395713580246
USRN,0.051484751661560336
AddressQualifier_encoded,0.042539306502344436
DateOfCall_encoded,0.03805623752773202
Notional Cost (£),0.03758427220673487
IncidentNumber_encoded,0.03738222157593704
CalYear,0.03728425504017278
PumpMinutesRounded,0.036142930606502574
Northing_rounded,0.03191906422494229
Northing,0.029814882994430896
Postcode_full_encoded,0.0258055729993272
Northing_m,0.024856009282235404
PropertyCategory_encoded,0.010812009312259388
PropertyType_encoded,0.009894318084291805
IncGeo_WardCode_encoded,0.008188218632922972
Latitude,0.006865997255358408
IncidentStationGround_encoded,0.005563318707012488
FirstPumpArriving_DeployedFromStation_encoded,0.003849803332642449
IncGeo_WardName_encoded,-0.001131823767299389
IncGeo_WardNameNew_encoded,-0.001131823767299389
StopCodeDescription_encoded,-0.009279276809769836
HourOfCall,-0.01993427261034698
TimeOfCall_encoded,-0.02000674597098866
Longitude,-0.02236369065915173
Easting_m,-0.02358416193371888
Easting_rounded,-0.02469502430289979
Easting,-0.025077685825938258
Postcode_district_encoded,-0.039132028206629574
UPRN,-0.04011126740484025
IncidentGroup_encoded,-0.04198092287295943
IncGeo_BoroughCode_encoded,-0.07191673633943328
ProperCase_encoded,-0.07422868045697957
IncGeo_BoroughName_encoded,-0.07422868045697957
SecondPumpArriving_DeployedFromStation_encoded,-0.1245653880792297
FRS_encoded,
